line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
88;ads;Adamorobe Sign Language;Adamorobe Sign Language;;sgn;sign;;;;;;
89;adt;Adnyamathanha;Adnyamathanha language;;aus-psw;Southwest Pama-Nyungan;;;;Latn;;
90;adu;Aduge;Aduge language;;alv-edo;Edoid;;;;Latn;;
91;adw;Amondawa;Amondawa language;;tup-gua;Tupi-Guarani;;;;Latn;Amundava;
92;ady;Adyghe;Adyghe language;;cau-cir;Circassian;;;;Cyrl;West Circassian;
93;adz;Adzera;Adzera language;;poz-ocw;Western Oceanic;;;;Latn;;
94;ae;Avestan;Avestan language;;ira-eas;Eastern Iranian;;;;Avst,Gujr;Zend,Old Bactrian;
95;aea;Areba;Areba language;;aus-pam;Pama-Nyungan;;;;Latn;;
96;aeb;Tunisian Arabic;Tunisian Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
97;aec;Saidi Arabic;Saidi Arabic language;;sem-arb;Arabic;;autodetect;;Arab;Sa'idi Arabic,Upper Egyptian Arabic,Upper Egypt Arabic;
98;aed;Argentine Sign Language;Argentine Sign Language;;sgn;sign;;;;;;
99;aee;Northeast Pashayi;Northeast Pashayi language;;inc-dar;Dardic;;;;Latn;Northeast Pashai,Pashai;
100;aek;Haeke;Haeke language;;poz-cln;New Caledonian;;;;Latn;;
101;ael;Ambele;Ambele language;;nic-bod;Bantoid;;;;Latn;;
102;aem;Arem;Arem language;;mkh-vie;Vietic;;;;Latn;;
103;aen;Armenian Sign Language;Armenian Sign Language;;sgn;sign;;;;;;
104;aeq;Aer;Aer language;;inc;Indo-Aryan;;;;Arab;;
105;aer;Eastern Arrernte;Eastern Arrernte language;;aus-pam;Pama-Nyungan;;;;Latn;;
106;aes;Alsea;Alsea language;;;;;;Latn;Yaquina,Yakwina,Alseya,Yakona;
107;aeu;Akeu;Akeu language;;tbq-lol;Loloish;;;;Latn;Chepya;
108;aew;Ambakich;Ambakich language;;paa-ram;Ramu;;;;Latn;Aion,Porapora;
109;aey;Amele;Amele language;;ngf-mad;Madang;;;;Latn;;
